releaseid,releasename,institutionid,departmentid,taxonomylevel01id,institutionname,departmentname,numfac,taxonomylevel01name,ranknumfac,facthreshold,totpubs,rankjpubs,hasjpub,rankhasjpub,jppauth,rjppauth,totcits,rankcits,hascit,rankhascits,pauthcit,rpauthci,hasgrnt,rankhasgrant,totgno,ranknumgrnts,totgdol,rankgrntdols,totawds,rankawds,hasawd,rankhasawd,totbooks,rankbooks,hasbook,rankhasbook,awdwt,grntwt,bookswt,citswt,pubswt,pfacbp,b1,rb1,pb1,BPA,bppfac,b2,rb2,pb2,pfacjp,p1,rp1,pp1,jppfac,p2,rp2,pp2,pfacc,p3,rp3,pp3,cpfac,p4,rp4,pp4,cpp,p5,rp5,pp5,pfacgrnt,g1,rg1,pg1,gpfac,g2,rg2,pg2,gdpfac,g3,rg3,pg3,dolpgrnt,g4,rg4,pg4,awdpfac,a1,ra1,pa1,pfacawd,a2,ra2,pa2,meanrnk,CustIndex,RankCustIndex,pfsp,campusrank,general,zscore_hasawd,zscore_hasbook,zscore_hascit,zscore_hasgrnt,zscore_hasjpub,zscore_jppauth,zscore_pauthcit,zscore_totawds,zscore_totbooks,zscore_totcits,zscore_totgdol,zscore_totgno,zscore_totpubs,zscore_numfac,pct_hasawd,pct_hasbook,pct_hascit,pct_hasgrnt,pct_hasjpub,pct_jppauth,pct_pauthcit,pct_totawds,pct_totbooks,pct_totcits,pct_totgdol,pct_totgno,pct_totpubs,pct_numfac,departmentsindiscipline,createddate,totconfproc,hasconfproc,perauthorconfproc,perfacultyconfproc,pctfacultyconfproc,rank_hasconfproc,rank_perauthorconfproc,rank_totconfproc,rank_perfacultyconfproc,rank_pctfacultyconfproc,zscore_hasconfproc,zscore_perauthorconfproc,zscore_totconfproc,zscore_perfacultyconfproc,zscore_pctfacultyconfproc,pct_hasconfproc,pct_perauthorconfproc,pct_totconfproc,pct_perfacultyconfproc,pct_pctfacultyconfproc,confprocwt
45B1BD4E01B2,Stony Brook AAU,168,9083,58,Purdue University,"Economics, Department of",21,"Economics, General",48,0,80,48,16,50.5,5,31.5,458,52,16,48.5,0.89,56,2,52,4,50,33415,61,2,60,2,57,9,50.5,6,38.5,10,2.5,7.97,9.01,13.51,0.29,0.2,24.5,66.67,1.5,0.43,-0.6,47,34.78,0.76,-0.72,55,21.74,3.81,-0.39,43,39.13,0.76,-0.42,48,31.88,21.81,-0.58,47,33.33,4.77,-0.65,48,31.88,0.1,-0.77,51,27.54,0.19,-0.66,47,33.33,1591.19,-0.79,60,14.49,8353.75,-1.14,63,10.14,0.1,-0.78,62,11.59,0.1,-1.02,59,15.94,49.45,-1,56,23.19,0,0,-0.86,-0.39,-0.71,-0.73,-0.75,-0.16,-0.71,-0.7,-0.63,-0.63,-0.77,-0.72,-0.66,-0.67,24.64,52.17,33.33,33.33,28.99,56.52,23.19,18.84,28.99,26.09,13.04,33.33,31.88,31.88,68,3/7/15 10:55,1,1,1,0.05,0.05,30.5,29.5,34,26,18,-0.04,-0.1,-0.31,-0.12,0.27,73.91,76.81,63.77,63.77,75.36,0
45B1BD4E01B2,Stony Brook AAU,198,8675,58,Stanford University,"Economics, Department of",42,"Economics, General",14.5,0,260,8,41,10.5,6.34,12,3645,5,40,10.5,0.98,21.5,21,9.5,43,4,3471215,6,81,4,37,5,50,10,14,13.5,10,2.5,7.97,9.01,13.51,0.33,0.59,14,82.61,3.571428571,1.19,0.8,14,81.16,0.98,1.32,4.5,95.65,6.19,0.98,10,86.96,0.95,1.2,6.5,92.75,86.79,1.57,6,92.75,11.57,1.85,4,95.65,0.5,1.45,9,89.86,1.02,1.54,5,94.2,82647.98,0.5,11,85.51,80725.93,-0.28,35,50.72,1.93,1.95,4,95.65,0.88,2.11,4,95.65,7.98,1.8,4.5,97.1,0,0,2.01,0.94,1.23,1.56,1.22,0.59,0.58,2,0.99,1.72,0.9,2.01,1.43,0.89,94.2,82.61,86.96,88.41,86.96,84.06,71.01,95.65,86.96,94.2,92.75,95.65,89.86,81.16,68,3/7/15 10:55,5,4,1.25,0.12,0.1,2,16,7,9,5,2.56,0.04,0.99,0.17,1.34,98.55,78.26,92.75,88.41,94.2,0
45B1BD4E01B2,Stony Brook AAU,26,11147,58,Brandeis University,"Economics, Department of",23,"Economics, General",45,0,59,58.5,18,46,3.28,67,344,56,16,48.5,0.84,66,2,52,2,58.5,118345,59,7,45.5,5,45,17,32,6,38.5,10,2.5,7.97,9.01,13.51,0.26,-0.01,31.5,56.52,2.833333333,0.74,-0.03,26,63.77,0.78,-0.53,52,26.09,2.57,-1.11,64,8.7,0.7,-0.99,61,13.04,14.96,-0.81,59,15.94,4.99,-0.57,43,39.13,0.09,-0.82,53,24.64,0.09,-0.93,58,17.39,5145.43,-0.73,58,17.39,59172.5,-0.54,53,24.64,0.3,-0.47,43,39.13,0.22,-0.53,45,36.23,49.29,-1,56,23.19,0,0,-0.61,-0.39,-0.71,-0.73,-0.59,-1.12,-1.41,-0.53,-0.31,-0.71,-0.72,-0.86,-0.9,-0.52,39.13,52.17,33.33,33.33,37.68,4.35,5.8,37.68,56.52,20.29,15.94,20.29,17.39,37.68,68,3/7/15 10:55,0,0,0,0,0,55.5,55.5,55.5,55.5,55.5,-0.9,-0.65,-0.63,-0.32,-0.8,39.13,39.13,39.13,39.13,39.13,0
45B1BD4E01B2,Stony Brook AAU,49,5475,58,Columbia University,"Economics, Department of",48,"Economics, General",7.5,0,247,9,45,5,5.49,21,2984,9,44,6.5,0.98,20,21,9.5,36,8,3236223,10,63,9,33,7.5,120,1,22,2.5,10,2.5,7.97,9.01,13.51,0.46,1.64,6,92.75,5.454545455,2.5,3.19,1,100,0.94,0.95,11,85.51,5.15,0.38,17,76.81,0.92,0.9,11,85.51,62.17,0.76,9,88.41,8.85,0.86,15,79.71,0.44,1.11,13,82.61,0.75,0.82,14,81.16,67421.31,0.26,19,73.91,89895.08,-0.18,31,56.52,1.31,1.03,9,88.41,0.69,1.34,9,88.41,11.22,1.6,7,91.3,0,0,1.68,2.28,1.55,1.56,1.53,0.12,0.61,1.38,3.76,1.23,0.79,1.52,1.28,1.34,91.3,98.55,92.75,88.41,94.2,71.01,72.46,88.41,100,88.41,86.96,89.86,88.41,91.3,68,3/7/15 10:55,2,2,1,0.04,0.04,13,29.5,20,31,22,0.83,-0.1,0.01,-0.15,0.14,89.86,76.81,79.71,57.97,71.01,0
45B1BD4E01B2,Stony Brook AAU,60,8770,58,Duke University,"Economics, Department of",73,"Economics, General",1,0,377,3,68,1,5.54,20,3927,4,60,1,0.88,59,36,1,61,1,8127194,2,65,8,40,3,49,11,22,2.5,10,2.5,7.97,9.01,13.51,0.3,0.33,22,69.57,2.227272727,0.67,-0.15,29,59.42,0.93,0.89,12,84.06,5.16,0.39,16,78.26,0.82,0.09,36,49.28,53.79,0.48,14,81.16,8.48,0.72,19,73.91,0.49,1.41,11,85.51,0.84,1.05,10,86.96,111331.42,0.95,6,92.75,133232.69,0.34,17,76.81,0.89,0.41,11,85.51,0.55,0.78,17,76.81,17.97,1.1,11.5,85.51,0,0,2.26,2.28,2.84,3.37,3.34,0.15,-0.81,1.45,0.95,1.92,3.16,3.28,2.78,3.2,97.1,98.55,100,100,100,72.46,15.94,89.86,85.51,95.65,98.55,100,97.1,100,68,3/7/15 10:55,14,3,4.67,0.19,0.04,5,4,1.5,5,24,1.69,1.94,3.9,0.47,0.12,97.1,95.65,100,94.2,66.67,0
45B1BD4E01B2,Stony Brook AAU,96,5621,58,Indiana University - Bloomington,"Economics, Department of",24,"Economics, General",42,0,104,40.5,23,36,4.52,48,638,41,21,40.5,0.91,50,3,42.5,4,50,175115,57,2,60,2,57,2,67,2,62,10,2.5,7.97,9.01,13.51,0.08,-1.49,67,4.35,1,0.08,-1.23,68,2.9,0.96,1.15,7.5,91.3,4.33,-0.09,32,55.07,0.88,0.54,21,71.01,26.58,-0.42,41,42.03,4.91,-0.6,45,36.23,0.13,-0.61,43.5,39.13,0.17,-0.72,52,26.09,7296.46,-0.7,55,21.74,43778.75,-0.72,59,15.94,0.08,-0.79,63,10.14,0.08,-1.07,60.5,14.49,43.33,-0.6,45,36.23,0,0,-0.86,-1.06,-0.3,-0.61,-0.2,-0.43,-0.35,-0.7,-0.9,-0.5,-0.7,-0.72,-0.38,-0.44,24.64,14.49,43.48,44.93,50.72,31.88,28.99,18.84,5.8,42.03,18.84,33.33,43.48,42.03,68,3/7/15 10:55,3,3,1,0.13,0.13,5,29.5,13,8,2,1.69,-0.1,0.34,0.2,2,97.1,76.81,84.06,89.86,98.55,0
45B1BD4E01B2,Stony Brook AAU,146,373,58,New York University,"Economics (GSAS), Department of",49,"Economics, General",5.5,0,206,13,42,8.5,4.9,34,2284,12,41,9,0.95,33,15,13,33,10.5,1767428,21,35,12.5,22,13,42,13,16,10.5,10,2.5,7.97,9.01,13.51,0.33,0.54,16,78.26,2.625,0.86,0.19,21.5,71.01,0.86,0.19,33,55.07,4.2,-0.16,38,46.38,0.84,0.22,31,56.52,46.61,0.24,20,72.46,9.03,0.92,13,82.61,0.31,0.39,21,71.01,0.67,0.62,17,76.81,36069.96,-0.24,35,50.72,53558.42,-0.61,57,18.84,0.71,0.14,21,71.01,0.45,0.39,22,69.57,25.9,0.6,20,73.91,0,0,0.78,1.28,1.31,0.84,1.29,-0.21,0.25,0.42,0.68,0.71,0.08,1.31,0.8,1.41,82.61,86.96,88.41,82.61,89.86,52.17,53.62,84.06,84.06,84.06,71.01,86.96,82.61,94.2,68,3/7/15 10:55,2,2,1,0.04,0.04,13,29.5,20,33,25,0.83,-0.1,0.01,-0.15,0.12,89.86,76.81,79.71,53.62,65.22,0
45B1BD4E01B2,Stony Brook AAU,163,648,58,"Pennsylvania State University, The","Economics, Department of",28,"Economics, General",33,0,77,50,22,38.5,3.5,65,548,44,22,38,0.92,48,6,30,15,23,797425,39,14,27,12,26,9,50.5,5,46,10,2.5,7.97,9.01,13.51,0.18,-0.69,51.5,27.54,1.8,0.32,-0.79,55,21.74,0.79,-0.5,51,27.54,2.75,-1,61.5,13.04,0.79,-0.22,44,37.68,19.57,-0.66,51,27.54,5.12,-0.52,41,42.03,0.21,-0.12,31.5,56.52,0.54,0.25,23.5,68.12,28479.46,-0.36,41,42.03,53161.67,-0.61,58,17.39,0.5,-0.17,28.5,60.87,0.43,0.31,23,68.12,44.95,-0.7,47.5,34.78,0,0,-0.04,-0.56,-0.22,-0.25,-0.28,-1,-0.3,-0.29,-0.63,-0.56,-0.39,0.05,-0.69,-0.15,63.77,37.68,47.83,59.42,46.38,7.25,31.88,62.32,28.99,37.68,44.93,71.01,28.99,55.07,68,3/7/15 10:55,1,1,1,0.04,0.04,30.5,29.5,34,38,30.5,-0.04,-0.1,-0.31,-0.17,0,73.91,76.81,63.77,46.38,57.97,0
45B1BD4E01B2,Stony Brook AAU,177,6613,58,Rutgers - New Brunswick,"Finance and Economics, Department of",8,"Economics, General",67,0,46,62.5,8,65.5,5.75,17,320,58,8,64.5,1,9,0,66,0,66,0,66,0,67,0,67,7,55,1,66.5,10,2.5,7.97,9.01,13.51,0.13,-1.14,59,15.94,7,0.88,0.22,20,72.46,1,1.55,1.5,100,5.75,0.73,13,82.61,1,1.61,2,100,40,0.02,25,65.22,4.85,-0.62,46,34.78,0,-1.3,66,8.7,0,-1.16,66,8.7,0,-0.81,66,8.7,0,-1.24,66,8.7,0,-0.92,67,5.8,0,-1.4,67,5.8,34.84,0,32.5,56.52,0,0,-1.02,-1.23,-1.35,-0.97,-1.37,0.26,0.94,-0.77,-0.7,-0.73,-0.78,-1,-1.05,-1.63,5.8,7.25,10.14,8.7,7.25,76.81,100,5.8,23.19,17.39,8.7,8.7,11.59,4.35,68,3/7/15 10:55,0,0,0,0,0,55.5,55.5,55.5,55.5,55.5,-0.9,-0.65,-0.63,-0.32,-0.8,39.13,39.13,39.13,39.13,39.13,0
45B1BD4E01B2,Stony Brook AAU,204,16501,58,"University at Buffalo, State University of New York","Finance, Department of",14,"Economics, General",62.5,0,46,62.5,9,63.5,5.11,30,253,60,8,64.5,0.89,56,0,66,0,66,0,66,2,60,2,57,6,57.5,3,56,10,2.5,7.97,9.01,13.51,0.21,-0.4,43,39.13,2,0.43,-0.6,47,34.78,0.64,-1.86,64,8.7,3.29,-0.69,55,21.74,0.57,-2.05,66,5.8,18.07,-0.71,54,23.19,4.08,-0.9,57,18.84,0,-1.3,66,8.7,0,-1.16,66,8.7,0,-0.81,66,8.7,0,-1.24,66,8.7,0.14,-0.71,56,20.29,0.14,-0.83,52,26.09,56.6,-1.5,64.5,8.7,0,0,-0.86,-0.9,-1.35,-0.97,-1.3,-0.1,-0.71,-0.7,-0.74,-0.78,-0.78,-1,-1.05,-1.18,24.64,24.64,10.14,8.7,10.14,57.97,23.19,18.84,18.84,14.49,8.7,8.7,11.59,11.59,68,3/7/15 10:55,0,0,0,0,0,55.5,55.5,55.5,55.5,55.5,-0.9,-0.65,-0.63,-0.32,-0.8,39.13,39.13,39.13,39.13,39.13,0
45B1BD4E01B2,Stony Brook AAU,215,1117,58,Texas A&M University,"Economics, Department of",26,"Economics, General",38,0,114,32.5,21,40,5.43,22.5,519,48,21,40.5,0.95,32,2,52,12,30,733642,41,7,45.5,7,37,7,55,6,38.5,10,2.5,7.97,9.01,13.51,0.23,-0.26,40,43.48,1.166666667,0.27,-0.89,59,15.94,0.81,-0.29,48,31.88,4.38,-0.06,31,56.52,0.81,-0.03,41,42.03,19.96,-0.64,50,28.99,3.82,-1,61,13.04,0.08,-0.87,55,21.74,0.46,0.06,27,62.32,28217,-0.37,42,40.58,61136.83,-0.52,48,31.88,0.27,-0.52,47,33.33,0.27,-0.33,37.5,47.83,45.01,-0.7,47.5,34.78,0,0,-0.45,-0.39,-0.3,-0.73,-0.35,0.08,0.27,-0.53,-0.7,-0.58,-0.43,-0.16,-0.26,-0.29,50.72,52.17,43.48,33.33,43.48,69.57,55.07,37.68,23.19,31.88,42.03,59.42,55.07,47.83,68,3/7/15 10:55,1,1,1,0.04,0.04,30.5,29.5,34,35,27,-0.04,-0.1,-0.31,-0.16,0.07,73.91,76.81,63.77,52.17,63.77,0
